timestamp,emg_value
1766015883.253684,46
1766015883.253702,46
1766015883.253716,46
1766015883.253729,49
1766015883.2537432,47
1766015883.253757,45
1766015883.2537742,46
1766015883.2537868,45
1766015883.2538,50
1766015883.253814,48
1766015883.253827,49
1766015883.25384,45
1766015883.2538528,47
1766015883.253867,48
1766015883.253879,44
1766015883.2538922,46
1766015883.2539048,44
1766015883.253918,46
1766015883.253931,46
1766015883.2539442,49
1766015883.253957,45
1766015883.25397,45
1766015883.253982,46
1766015883.254005,47
1766015883.254017,48
1766015883.2540312,45
1766015883.2540429,46
1766015883.254056,53
1766015883.254069,48
1766015883.254082,51
1766015883.2540941,47
1766015883.254107,52
1766015883.254132,48
1766015883.254145,46
1766015883.254158,51
1766015883.254171,49
1766015883.254184,44
1766015883.254197,50
1766015883.25421,46
1766015883.2542222,47
1766015883.2542348,43
1766015883.2542489,49
1766015883.254262,45
1766015883.2542741,47
1766015883.254287,47
1766015883.2542999,43
1766015883.254313,45
1766015883.254326,46
1766015883.2543402,45
1766015883.2543528,45
1766015883.254366,46
1766015883.254378,45
1766015883.254391,46
1766015883.254404,45
1766015883.254417,43
1766015883.25443,42
1766015883.254443,43
1766015883.254455,44
1766015883.2544682,44
1766015883.2544808,46
1766015883.254494,47
1766015883.2545059,43
1766015883.254519,46
1766015883.254532,45
1766015883.2545469,46
1766015883.2545652,46
1766015883.254577,42
1766015883.25459,43
1766015883.254603,43
1766015883.254616,44
1766015883.2546291,44
1766015883.2546408,45
1766015883.254654,45
1766015883.254667,46
1766015883.2546802,47
1766015883.254693,49
1766015883.254706,46
1766015883.254721,46
1766015883.254734,47
1766015883.254747,45
1766015883.2547588,48
1766015883.254772,46
1766015883.254785,45
1766015883.2547982,45
1766015883.25481,45
1766015883.254823,45
1766015883.254836,46
1766015883.254849,44
1766015883.254862,45
1766015883.254875,44
1766015883.2548869,47
1766015883.254901,48
1766015883.254915,46
1766015883.2549279,45
1766015883.254941,48
1766015883.254954,46
1766015883.254967,45
1766015883.2549849,46
1766015883.254998,47
1766015883.255011,43
1766015883.2550242,46
1766015883.2550368,44
1766015883.25505,44
1766015883.255063,47
1766015883.2550762,42
1766015883.255088,47
1766015883.255101,42
1766015883.255114,43
1766015883.255127,44
1766015883.255146,39
1766015883.2551591,39
1766015883.255171,42
1766015883.255184,43
1766015883.2551968,46
1766015883.255209,44
1766015883.255222,42
1766015883.255235,41
1766015883.2552478,44
1766015883.25526,45
1766015883.2552729,43
