timestamp,emg_value
1766015814.334342,92
1766015814.334375,93
1766015814.334403,91
1766015814.334429,91
1766015814.334455,91
1766015814.334482,91
1766015814.334508,88
1766015814.334535,85
1766015814.334561,86
1766015814.3345878,85
1766015814.334615,87
1766015814.334641,85
1766015814.334667,85
1766015814.3346932,84
1766015814.334719,85
1766015814.3347452,85
1766015814.334771,83
1766015814.334799,84
1766015814.3348238,84
1766015814.33485,84
1766015814.3348758,83
1766015814.334901,87
1766015814.334927,81
1766015814.334953,83
1766015814.334978,82
1766015814.335005,83
1766015814.335031,90
1766015814.3350568,91
1766015814.335082,90
1766015814.335108,92
1766015814.335145,92
1766015814.335171,96
1766015814.335209,96
1766015814.335236,95
1766015814.3352609,93
1766015814.335287,94
1766015814.335312,91
1766015814.3353379,93
1766015814.335364,90
1766015814.3353899,88
1766015814.3354151,92
1766015814.3354418,92
1766015814.335468,92
1766015814.335493,93
1766015814.335519,92
1766015814.335544,92
1766015814.3355699,89
1766015814.335595,88
1766015814.335621,89
1766015814.335646,88
1766015814.3356721,89
1766015814.335697,94
1766015814.335723,95
1766015814.3357499,98
1766015814.335783,102
1766015814.335815,103
1766015814.335853,107
1766015814.335885,104
1766015814.335917,102
1766015814.335945,100
1766015814.3359628,100
1766015814.3359811,102
1766015814.335998,99
1766015814.336013,98
1766015814.3360279,99
1766015814.3360472,99
1766015814.336062,98
1766015814.336077,99
1766015814.336093,97
1766015814.336108,98
1766015814.336128,95
1766015814.336143,97
1766015814.336158,94
1766015814.336174,92
1766015814.33619,91
1766015814.336205,92
1766015814.336221,92
1766015814.336239,89
1766015814.336255,91
1766015814.33627,90
1766015814.3362849,91
1766015814.336301,91
1766015814.3363159,89
1766015814.336332,90
1766015814.3363461,92
1766015814.336361,93
1766015814.336376,94
1766015814.336391,92
1766015814.336406,93
1766015814.336421,93
1766015814.336436,91
1766015814.336451,91
1766015814.3364658,90
1766015814.336481,92
1766015814.3364968,87
1766015814.3365152,91
1766015814.33653,88
1766015814.336545,90
1766015814.33656,85
1766015814.336575,84
1766015814.336591,84
1766015814.336606,81
1766015814.336622,80
1766015814.336637,83
1766015814.336652,86
1766015814.3366668,86
1766015814.336683,85
1766015814.336698,84
1766015814.336713,84
1766015814.336732,84
1766015814.3367481,86
1766015814.336763,85
1766015814.336778,85
1766015814.3367932,83
1766015814.336808,86
1766015814.336823,85
1766015814.336838,79
1766015814.336852,81
1766015814.336867,84
1766015814.3368819,83
1766015814.3368971,82
1766015814.336912,81
1766015814.336927,82
1766015814.3369422,82
1766015814.3369558,78
1766015814.336971,81
1766015814.336986,77
1766015814.337003,81
1766015814.337018,79
1766015814.337035,81
1766015814.3370502,83
1766015814.337065,84
1766015814.33708,87
1766015814.337095,86
1766015814.33711,85
1766015814.33713,84
1766015814.337145,85
1766015814.3371599,84
1766015814.3371751,83
1766015814.33719,83
1766015814.337205,84
1766015814.3372202,83
1766015814.337235,81
1766015814.33725,81
1766015814.337264,77
1766015814.337279,81
1766015814.337294,78
1766015814.337309,77
1766015814.3373241,80
1766015814.337339,76
1766015814.337354,80
1766015814.337368,78
1766015814.3373828,75
1766015814.337398,76
1766015814.337413,77
1766015814.3374279,79
1766015814.3374422,87
1766015814.337457,91
1766015814.337473,90
1766015814.337488,93
1766015814.337504,93
1766015814.3375192,91
1766015814.337534,96
1766015814.337549,92
1766015814.337564,96
1766015814.337579,94
1766015814.337594,92
1766015814.337609,89
1766015814.337624,88
