timestamp,emg_value
1766015908.882615,43
1766015908.882648,40
1766015908.882688,37
1766015908.882716,37
1766015908.8827431,39
1766015908.8827698,39
1766015908.882797,40
1766015908.882824,35
1766015908.8828511,37
1766015908.882879,33
1766015908.882905,40
1766015908.882932,41
1766015908.8829591,37
1766015908.8829849,41
1766015908.883011,40
1766015908.883038,42
1766015908.883064,42
1766015908.883091,46
1766015908.8831182,46
1766015908.883144,42
1766015908.8831701,44
1766015908.8831959,43
1766015908.883223,44
1766015908.88325,46
1766015908.883276,46
1766015908.883303,45
1766015908.883329,41
1766015908.883355,42
1766015908.883381,42
1766015908.883407,41
1766015908.8834329,41
1766015908.88346,42
1766015908.8834949,40
1766015908.883522,45
1766015908.8835452,39
1766015908.88356,44
1766015908.8835762,40
1766015908.883591,39
1766015908.883606,40
1766015908.8836212,45
1766015908.883637,42
1766015908.8836532,40
1766015908.8836741,42
1766015908.883691,41
1766015908.883708,42
1766015908.883723,43
1766015908.883738,40
1766015908.883753,43
1766015908.883768,42
1766015908.8837829,44
1766015908.8837981,44
1766015908.8838131,39
1766015908.883828,41
1766015908.8838432,42
1766015908.883858,40
1766015908.883873,40
1766015908.8838882,38
1766015908.883903,40
1766015908.883918,39
1766015908.8839328,36
1766015908.883948,37
1766015908.8839629,39
1766015908.883978,37
1766015908.8839948,42
1766015908.884017,39
1766015908.884038,39
1766015908.884056,37
1766015908.8840709,40
1766015908.8840861,40
1766015908.8841012,39
1766015908.884116,39
1766015908.884131,41
1766015908.884146,38
1766015908.884161,40
1766015908.884186,39
1766015908.884201,39
1766015908.884216,39
1766015908.884234,37
1766015908.884249,39
1766015908.884264,37
1766015908.884279,38
1766015908.8842938,34
1766015908.884309,38
1766015908.884324,37
1766015908.88434,37
1766015908.884362,35
1766015908.884377,34
1766015908.884392,35
1766015908.884407,35
1766015908.884423,37
1766015908.884438,39
1766015908.884453,41
1766015908.884468,41
1766015908.884486,36
1766015908.884501,42
1766015908.884516,42
1766015908.884532,40
1766015908.884554,40
1766015908.8845718,41
1766015908.884587,42
1766015908.8846028,38
1766015908.884618,39
1766015908.884633,40
1766015908.884649,40
1766015908.884664,40
1766015908.884685,41
1766015908.884701,38
1766015908.884716,43
1766015908.8847308,41
1766015908.8847518,42
1766015908.884767,43
1766015908.884782,41
1766015908.8847969,42
1766015908.884812,43
1766015908.884827,41
1766015908.884852,35
1766015908.884867,39
1766015908.884883,38
1766015908.884901,35
1766015908.884917,40
1766015908.884931,41
1766015908.884947,41
1766015908.884962,41
1766015908.8849769,39
1766015908.884992,39
1766015908.8850071,42
1766015908.885022,41
1766015908.885037,40
1766015908.885052,43
1766015908.8850749,41
1766015908.885092,40
1766015908.88511,41
1766015908.8851252,44
1766015908.88514,39
1766015908.885155,40
1766015908.88517,38
1766015908.885185,37
1766015908.8851998,41
1766015908.885215,37
1766015908.88523,40
1766015908.8852448,40
1766015908.88526,37
1766015908.885277,38
1766015908.885292,37
1766015908.8853068,36
1766015908.885322,37
1766015908.885337,37
1766015908.885352,36
1766015908.8853672,37
1766015908.885382,39
1766015908.885397,36
1766015908.885412,40
1766015908.885427,37
1766015908.885442,35
1766015908.8854568,40
1766015908.885474,33
1766015908.885491,35
1766015908.8855062,37
1766015908.885519,38
1766015908.885532,37
1766015908.885545,35
1766015908.8855581,37
1766015908.8855748,35
1766015908.88559,37
1766015908.885602,36
1766015908.885615,36
1766015908.885628,34
1766015908.8856409,39
1766015908.885654,35
1766015908.8856661,33
1766015908.885679,37
1766015908.885692,35
1766015908.885707,38
1766015908.8857229,37
1766015908.885736,35
1766015908.885749,33
1766015908.885761,34
1766015908.8857741,37
1766015908.885789,35
1766015908.885802,33
1766015908.8858151,37
1766015908.885828,35
1766015908.88584,37
1766015908.8858528,35
1766015908.885866,36
1766015908.885879,34
1766015908.8858922,36
1766015908.8859048,35
1766015908.885917,35
1766015908.88593,37
1766015908.885943,34
1766015908.885956,36
1766015908.885968,37
1766015908.8859808,36
1766015908.885998,38
1766015908.886011,37
1766015908.886077,34
1766015908.886094,33
1766015908.8861089,37
1766015908.886122,32
1766015908.886136,35
1766015908.88615,35
1766015908.886163,34
1766015908.886177,35
1766015908.8861902,35
1766015908.8862028,34
1766015908.886216,37
1766015908.886229,36
1766015908.8862422,34
1766015908.886255,35
1766015908.886268,34
1766015908.886281,36
1766015908.8862941,37
1766015908.886307,41
1766015908.886322,43
1766015908.886336,38
1766015908.886349,40
1766015908.886362,44
1766015908.886375,42
1766015908.886388,46
1766015908.886401,47
1766015908.886414,46
1766015908.886427,46
1766015908.88644,44
1766015908.886453,44
1766015908.886466,43
1766015908.8864791,43
1766015908.886497,42
1766015908.886512,43
1766015908.886525,43
1766015908.886538,44
1766015908.8865511,43
1766015908.886563,44
1766015908.8865778,42
1766015908.88659,43
1766015908.886604,46
1766015908.8866172,43
1766015908.886629,42
1766015908.886644,44
1766015908.886657,42
1766015908.886673,41
1766015908.8866858,40
1766015908.886699,42
1766015908.886712,40
1766015908.8867252,39
1766015908.8867378,39
1766015908.88675,42
1766015908.886764,39
1766015908.886776,40
1766015908.886789,42
1766015908.886802,39
1766015908.886815,38
1766015908.886828,40
1766015908.886841,38
1766015908.886854,39
1766015908.886867,41
1766015908.88688,38
1766015908.886893,40
1766015908.8869052,40
1766015908.88692,39
1766015908.886935,42
1766015908.8869472,41
1766015908.88696,42
1766015908.8869739,44
1766015908.886987,39
1766015908.8869991,37
1766015908.8870149,36
1766015908.887028,38
1766015908.887042,37
1766015908.8870552,36
1766015908.8870678,36
