timestamp,emg_value
1765877474.428703,496
1765877474.428731,496
1765877474.428745,496
1765877474.428756,497
1765877474.428766,494
1765877474.428776,492
1765877474.4287858,494
1765877474.4287958,494
1765877474.4288058,495
1765877474.4288158,496
1765877474.428826,497
1765877474.4288352,497
1765877474.4288452,498
1765877474.428855,498
1765877474.428864,494
1765877474.428874,491
1765877474.428884,493
1765877474.428898,495
1765877474.428908,495
1765877474.428917,494
1765877474.428927,495
1765877474.428937,494
1765877474.428947,493
1765877474.428957,493
1765877474.428993,494
1765877474.4290402,494
1765877474.429054,494
1765877474.429064,495
1765877474.4290738,496
1765877474.4290838,497
1765877474.429095,498
1765877474.4291048,498
1765877474.4291148,496
1765877474.429132,493
1765877474.429143,493
1765877474.429153,494
1765877474.429163,495
1765877474.429173,494
1765877474.429183,494
1765877474.429193,492
1765877474.429203,493
1765877474.4292202,493
1765877474.42923,494
1765877474.42924,493
1765877474.429251,495
1765877474.4292622,495
1765877474.4292722,495
1765877474.429282,497
1765877474.429291,500
1765877474.429301,503
1765877474.429312,501
1765877474.429322,496
1765877474.429337,489
1765877474.4293718,494
1765877474.429384,496
1765877474.429395,495
1765877474.429405,496
1765877474.429415,494
1765877474.429425,494
1765877474.4294348,494
1765877474.429445,493
1765877474.429455,493
1765877474.429465,494
1765877474.429475,495
1765877474.429485,495
1765877474.429873,496
1765877474.4298828,498
1765877474.429893,495
1765877474.429903,493
1765877474.429913,493
1765877474.429923,493
1765877474.429933,493
1765877474.429943,494
1765877474.429953,494
1765877474.429964,494
1765877474.429974,495
1765877474.430039,495
1765877474.4301262,494
1765877474.430193,495
1765877474.430206,495
1765877474.4303942,494
1765877474.4304051,494
1765877474.4304519,495
1765877474.430463,494
1765877474.4304729,495
1765877474.4304829,494
1765877474.430494,494
1765877474.430503,495
1765877474.4305139,495
1765877474.4305239,494
1765877474.430534,495
1765877474.430544,495
1765877474.4305542,495
1765877474.430676,495
1765877474.430709,496
1765877474.430719,494
1765877474.430729,493
1765877474.430739,495
1765877474.4308019,494
1765877474.431107,496
1765877474.431117,496
1765877474.431127,499
1765877474.4312031,501
1765877474.4312131,503
1765877474.431346,501
1765877474.431391,497
1765877474.431465,496
1765877474.431512,496
1765877474.4315221,495
1765877474.4317482,492
1765877474.4317582,491
1765877474.4317682,491
1765877474.431778,493
1765877474.431788,494
1765877474.431798,495
1765877474.431808,495
1765877474.431818,496
1765877474.4318268,496
1765877474.4318368,493
1765877474.4318469,492
1765877474.4318569,494
1765877474.431867,498
1765877474.4318771,498
1765877474.4318862,500
1765877474.431896,497
1765877474.431906,493
1765877474.431916,492
1765877474.431926,495
1765877474.431936,496
1765877474.4321358,494
1765877474.4321458,494
1765877474.432163,494
1765877474.432173,493
1765877474.432183,494
1765877474.432193,494
1765877474.432203,494
1765877474.432213,494
1765877474.432222,494
1765877474.432232,494
1765877474.432242,494
1765877474.432252,494
1765877474.432262,495
1765877474.432272,494
1765877474.4322822,495
1765877474.432292,494
1765877474.432302,495
1765877474.432311,494
1765877474.432321,495
1765877474.432331,495
1765877474.432341,495
1765877474.4323509,495
1765877474.432361,495
1765877474.4324229,494
1765877474.432433,494
1765877474.432443,495
1765877474.4324532,494
1765877474.4324632,494
1765877474.4324758,496
1765877474.4324858,499
1765877474.432496,500
1765877474.432506,501
1765877474.432516,502
1765877474.4325252,498
1765877474.432535,493
1765877474.432545,494
1765877474.432555,499
1765877474.432565,501
1765877474.432574,502
1765877474.432584,504
1765877474.4325938,501
1765877474.4326038,493
1765877474.4326131,488
1765877474.432624,491
1765877474.4326751,491
1765877474.432686,491
1765877474.432697,492
1765877474.432708,492
1765877474.432719,494
1765877474.4327302,494
1765877474.4327412,494
1765877474.4327521,494
1765877474.4327629,495
1765877474.432775,493
1765877474.43279,494
1765877474.4328032,494
1765877474.4328141,495
1765877474.432825,495
1765877474.432836,495
1765877474.432847,494
1765877474.432859,494
1765877474.43287,495
1765877474.4328809,495
1765877474.4328918,494
1765877474.4329028,495
1765877474.432914,495
1765877474.432925,495
1765877474.432936,495
1765877474.4329479,495
1765877474.432959,495
1765877474.43297,495
1765877474.432981,496
1765877474.432992,495
1765877474.433003,495
1765877474.433014,495
1765877474.4330251,495
1765877474.433036,495
1765877474.433047,495
1765877474.433058,496
1765877474.433069,498
1765877474.4330812,501
1765877474.433096,503
1765877474.4331079,505
1765877474.433119,497
1765877474.43313,492
1765877474.433141,493
1765877474.433152,491
1765877474.433163,492
1765877474.4331741,494
1765877474.433185,493
1765877474.433196,495
1765877474.433208,496
1765877474.433219,495
1765877474.4332302,494
1765877474.4332411,496
1765877474.433252,496
1765877474.433263,495
1765877474.433274,495
1765877474.4332852,495
1765877474.433296,496
1765877474.433307,496
1765877474.433318,497
1765877474.4333298,496
1765877474.433341,496
1765877474.4333608,496
1765877474.433372,496
1765877474.433383,496
1765877474.433402,495
1765877474.433415,496
1765877474.433426,495
1765877474.4334369,495
1765877474.4334478,496
1765877474.433459,495
1765877474.43347,494
1765877474.433481,495
1765877474.433492,495
1765877474.433503,495
1765877474.4335139,495
1765877474.433525,495
1765877474.433536,496
1765877474.433547,496
1765877474.433558,497
1765877474.433569,497
1765877474.43358,496
1765877474.4335911,495
1765877474.433602,495
1765877474.433613,496
1765877474.433625,495
1765877474.4336362,497
1765877474.433654,497
1765877474.433665,497
1765877474.433676,496
1765877474.433687,497
1765877474.433698,495
1765877474.433713,496
1765877474.433724,495
1765877474.433735,496
1765877474.433752,493
1765877474.433771,494
1765877474.433794,495
1765877474.433812,497
1765877474.4338229,499
1765877474.433834,497
1765877474.433845,502
1765877474.433856,503
1765877474.433867,495
1765877474.433884,491
1765877474.4338958,495
1765877474.4339058,493
1765877474.433918,494
1765877474.433929,495
1765877474.43394,491
1765877474.433951,492
1765877474.4339619,494
1765877474.433973,494
1765877474.43399,495
1765877474.434002,496
1765877474.434013,495
1765877474.4340239,493
1765877474.434035,493
1765877474.434054,493
1765877474.4340658,494
1765877474.434077,495
1765877474.434088,494
1765877474.434099,494
1765877474.434117,495
1765877474.4341278,494
1765877474.4341388,493
1765877474.43415,493
1765877474.434161,493
1765877474.434172,495
1765877474.4341838,495
1765877474.434195,497
1765877474.434206,497
1765877474.434217,496
1765877474.434228,495
1765877474.434239,495
1765877474.4342499,497
1765877474.434261,498
1765877474.434272,496
1765877474.434292,491
1765877474.434303,492
1765877474.434314,494
1765877474.434325,493
1765877474.434336,494
1765877474.434347,495
1765877474.434366,494
1765877474.43438,494
1765877474.434391,494
1765877474.434402,494
1765877474.434413,495
1765877474.4344242,494
1765877474.4344351,495
1765877474.434446,495
1765877474.434457,494
1765877474.434468,494
1765877474.434486,494
1765877474.434497,495
1765877474.434508,495
1765877474.434519,494
1765877474.43453,495
1765877474.434541,495
1765877474.434552,495
1765877474.4345632,494
1765877474.4345741,494
1765877474.434585,494
1765877474.434596,494
1765877474.434607,494
1765877474.434618,495
1765877474.4346292,496
1765877474.43464,498
1765877474.434651,498
1765877474.4346619,498
1765877474.434677,496
1765877474.434688,492
1765877474.4347,496
1765877474.434711,498
1765877474.434722,496
1765877474.4347332,494
1765877474.4347441,496
1765877474.434756,496
1765877474.434767,496
1765877474.4347782,495
1765877474.4348001,498
1765877474.4348109,501
1765877474.434829,500
1765877474.43484,491
1765877474.4348512,492
1765877474.4348621,492
1765877474.434873,492
1765877474.434884,492
1765877474.434895,494
1765877474.434906,494
1765877474.4349172,493
1765877474.4349282,493
1765877474.434939,493
1765877474.4349499,493
1765877474.4349608,493
1765877474.4349718,492
1765877474.434987,492
1765877474.434999,492
1765877474.43501,493
1765877474.4350212,494
1765877474.4350321,494
1765877474.435043,495
1765877474.435054,495
1765877474.435065,497
1765877474.435076,497
1765877474.4350872,495
1765877474.4350982,495
1765877474.4351091,495
1765877474.43512,493
1765877474.4351318,494
1765877474.435236,495
1765877474.435254,495
1765877474.435267,495
1765877474.4352791,495
1765877474.4352908,494
1765877474.435303,495
1765877474.435315,495
1765877474.435327,494
1765877474.435339,496
1765877474.4353511,497
1765877474.435363,499
1765877474.4353752,499
1765877474.435392,498
1765877474.4354072,490
1765877474.435421,491
1765877474.435433,494
1765877474.435445,493
1765877474.435457,492
1765877474.4354692,493
1765877474.435534,494
1765877474.4355469,495
1765877474.435561,496
1765877474.435592,497
1765877474.4356039,497
1765877474.435616,496
1765877474.435627,495
1765877474.435638,495
1765877474.435651,497
1765877474.435662,496
1765877474.435673,493
1765877474.4356842,492
1765877474.4356961,493
1765877474.4357069,495
1765877474.435719,494
1765877474.43573,494
1765877474.435741,494
1765877474.435752,493
1765877474.435763,494
1765877474.435777,494
1765877474.43579,494
1765877474.435801,494
1765877474.4358358,495
1765877474.4359329,496
1765877474.4359539,496
1765877474.435969,495
1765877474.435988,494
1765877474.436001,493
1765877474.4360478,494
1765877474.43606,494
1765877474.436071,495
1765877474.4360828,496
1765877474.436094,496
1765877474.436105,496
1765877474.436116,496
1765877474.436128,495
1765877474.436139,493
1765877474.43615,494
1765877474.436161,495
1765877474.436173,494
1765877474.4361842,494
1765877474.4361951,492
1765877474.436206,495
1765877474.436217,497
1765877474.436228,500
1765877474.4362419,500
1765877474.436255,498
1765877474.436266,494
1765877474.436278,491
1765877474.436289,493
1765877474.4363,493
1765877474.436312,493
1765877474.4363232,494
1765877474.4363341,494
1765877474.436345,495
1765877474.436356,494
1765877474.436368,494
1765877474.436379,494
1765877474.43639,494
1765877474.4364018,494
1765877474.4364128,494
1765877474.436424,494
1765877474.436436,495
1765877474.436447,495
1765877474.4364579,496
1765877474.436469,495
1765877474.43648,494
1765877474.436491,494
1765877474.436502,494
1765877474.4365141,495
1765877474.436525,496
1765877474.436536,499
1765877474.436552,501
1765877474.436563,502
1765877474.436574,500
1765877474.436585,498
1765877474.436596,495
1765877474.436607,492
1765877474.436619,490
1765877474.43663,492
1765877474.436641,493
1765877474.4366531,494
1765877474.436664,492
1765877474.436675,492
1765877474.436686,494
1765877474.436697,493
1765877474.4367092,494
1765877474.4367201,494
1765877474.4367309,495
1765877474.4367418,493
1765877474.4367528,494
1765877474.436765,495
1765877474.436776,495
1765877474.436787,496
1765877474.4367979,496
1765877474.43681,499
1765877474.436821,500
1765877474.436832,501
1765877474.4368472,499
1765877474.436859,494
1765877474.4368699,492
1765877474.436927,494
1765877474.43698,491
1765877474.4370198,493
1765877474.437035,493
1765877474.437047,492
1765877474.4370592,492
1765877474.4370701,494
1765877474.437082,494
1765877474.437094,495
1765877474.437105,495
1765877474.437116,495
1765877474.4371278,495
1765877474.437139,494
1765877474.437151,495
1765877474.437162,495
1765877474.437173,494
1765877474.437185,494
1765877474.437206,494
1765877474.437218,495
1765877474.43723,495
1765877474.437242,495
1765877474.4372532,495
1765877474.437264,495
1765877474.43728,495
1765877474.437292,496
1765877474.437304,497
1765877474.437315,497
1765877474.4373262,493
1765877474.4373372,494
1765877474.437349,495
1765877474.43736,496
1765877474.437372,496
1765877474.437383,497
1765877474.437394,495
1765877474.4374049,494
1765877474.4374158,494
1765877474.437427,494
1765877474.437439,495
1765877474.43745,495
1765877474.437461,494
1765877474.437473,494
1765877474.437484,494
1765877474.437495,494
1765877474.4375072,494
1765877474.4375181,494
1765877474.43753,494
1765877474.437541,495
1765877474.4375522,495
1765877474.437564,495
1765877474.437577,496
1765877474.437591,495
1765877474.437602,496
1765877474.437613,495
1765877474.437624,495
1765877474.4376361,495
1765877474.437647,495
1765877474.437658,495
1765877474.437669,495
1765877474.4376802,495
1765877474.437692,495
1765877474.437703,495
1765877474.4377139,493
1765877474.437726,494
1765877474.437737,495
1765877474.437749,493
1765877474.43776,494
1765877474.437771,496
1765877474.437783,496
1765877474.437794,495
1765877474.437805,495
1765877474.437817,495
1765877474.437828,495
1765877474.437839,494
1765877474.43785,494
1765877474.437862,494
1765877474.437873,494
1765877474.437888,494
1765877474.437899,494
1765877474.437911,494
1765877474.437922,496
1765877474.437933,496
1765877474.4379451,496
1765877474.437956,496
1765877474.437967,496
1765877474.437979,496
1765877474.43799,496
1765877474.438001,496
1765877474.438012,497
1765877474.438024,497
1765877474.438035,496
1765877474.438046,496
1765877474.438058,497
1765877474.43807,497
1765877474.438081,497
1765877474.438092,496
1765877474.438103,496
1765877474.438116,495
1765877474.438127,495
1765877474.438139,495
1765877474.43815,496
1765877474.438161,495
1765877474.4381719,495
1765877474.438186,496
1765877474.4382,496
1765877474.438211,495
1765877474.4382238,495
1765877474.4382348,495
1765877474.4382458,495
1765877474.438257,496
1765877474.438269,494
1765877474.4382799,495
1765877474.4382908,495
1765877474.438303,495
1765877474.438314,495
1765877474.438325,495
1765877474.438336,495
1765877474.438348,495
1765877474.438359,495
1765877474.43837,495
1765877474.438381,494
1765877474.4383922,494
1765877474.438404,495
1765877474.438415,495
1765877474.438426,495
1765877474.438438,495
1765877474.438449,495
1765877474.4384599,494
1765877474.4384708,495
1765877474.438486,495
1765877474.438499,494
1765877474.438517,494
1765877474.438536,494
1765877474.4385548,495
1765877474.4385731,495
1765877474.438592,495
1765877474.438611,495
1765877474.4386292,496
1765877474.438648,495
1765877474.438667,495
1765877474.438686,495
1765877474.438704,494
1765877474.438723,495
1765877474.438742,495
1765877474.43876,495
1765877474.4387789,494
1765877474.4387982,494
1765877474.438816,495
1765877474.438835,494
1765877474.438854,494
1765877474.438873,494
1765877474.438891,494
1765877474.43891,494
1765877474.438928,495
1765877474.438947,495
1765877474.4389682,494
1765877474.438994,495
1765877474.439013,495
1765877474.4390311,494
1765877474.439059,494
1765877474.4390771,495
1765877474.439096,494
1765877474.439115,495
1765877474.439133,494
1765877474.4391522,494
1765877474.439171,494
1765877474.439189,493
1765877474.439208,495
1765877474.4392262,494
1765877474.439245,494
1765877474.439264,495
1765877474.439282,495
1765877474.439301,495
1765877474.43932,495
1765877474.439339,495
1765877474.439357,495
1765877474.4393759,495
1765877474.4393952,495
1765877474.439413,495
1765877474.439431,495
1765877474.43945,494
1765877474.439469,495
1765877474.4394948,494
1765877474.4395142,495
1765877474.439533,494
1765877474.439552,494
1765877474.43957,495
1765877474.439589,494
1765877474.439608,495
1765877474.439626,496
1765877474.4396448,495
1765877474.4396632,495
1765877474.439682,495
1765877474.439701,494
1765877474.43972,495
1765877474.439738,495
1765877474.439757,495
1765877474.439775,494
1765877474.4397938,494
1765877474.439827,494
1765877474.439847,494
1765877474.439865,495
1765877474.439884,495
1765877474.439903,495
1765877474.439923,495
1765877474.439939,495
1765877474.439955,494
1765877474.439971,495
1765877474.43999,495
1765877474.4400058,495
1765877474.440022,495
1765877474.440037,495
1765877474.440053,495
1765877474.4400692,494
